start_time,away_team,home_team,away_team_score,home_team_score
2025-01-24 00:00:00+00:00,Team.PORTLAND_TRAIL_BLAZERS,Team.ORLANDO_MAGIC,101.0,79.0
2025-01-24 00:30:00+00:00,Team.TORONTO_RAPTORS,Team.ATLANTA_HAWKS,122.0,119.0
2025-01-24 01:00:00+00:00,Team.DALLAS_MAVERICKS,Team.OKLAHOMA_CITY_THUNDER,121.0,115.0
2025-01-24 01:30:00+00:00,Team.MIAMI_HEAT,Team.MILWAUKEE_BUCKS,96.0,125.0
2025-01-24 02:00:00+00:00,Team.SACRAMENTO_KINGS,Team.DENVER_NUGGETS,123.0,132.0
2025-01-24 03:00:00+00:00,Team.CHICAGO_BULLS,Team.GOLDEN_STATE_WARRIORS,106.0,131.0
2025-01-24 03:00:00+00:00,Team.BOSTON_CELTICS,Team.LOS_ANGELES_LAKERS,96.0,117.0
2025-01-24 03:30:00+00:00,Team.WASHINGTON_WIZARDS,Team.LOS_ANGELES_CLIPPERS,93.0,110.0
2025-01-25 00:00:00+00:00,Team.PORTLAND_TRAIL_BLAZERS,Team.CHARLOTTE_HORNETS,102.0,97.0
2025-01-25 00:00:00+00:00,Team.CLEVELAND_CAVALIERS,Team.PHILADELPHIA_76ERS,129.0,132.0
